unit,left_sensitivity,right_sensitivity,preference_score_left_minus_right,preferred_stream,preferred_stream_name,seed
61,0.049360793,0.39780706,-0.34844628,1,right,2
62,0.106261805,1.7118478,-1.6055859,1,right,2
63,0.15422547,1.0512817,-0.8970562,1,right,2
0,0.123330675,0.25903064,-0.13569996,1,right,3
1,0.23095141,0.23618387,-0.0052324533,1,right,3
2,0.29095066,1.4008799,-1.1099292,1,right,3
3,0.081536055,0.071153454,0.0103826,0,left,3
4,0.09068429,0.11317724,-0.022492953,1,right,3
5,1.1210356,0.4238948,0.6971408,0,left,3
6,0.20529746,0.08016934,0.12512812,0,left,3
7,0.13606265,0.30662134,-0.17055869,1,right,3
8,0.27790636,0.71922964,-0.44132328,1,right,3
9,0.27569863,0.5454308,-0.26973215,1,right,3
10,0.47082174,0.40810442,0.06271732,0,left,3
11,0.56983125,0.16083057,0.4090007,0,left,3
12,0.71178955,1.263134,-0.55134445,1,right,3
13,0.5892786,0.28919637,0.3000822,0,left,3
14,0.02378832,0.08277942,-0.058991104,1,right,3
15,0.41121083,0.6689169,-0.25770605,1,right,3
16,0.18263021,0.2862043,-0.1035741,1,right,3
17,0.19460522,0.48200503,-0.28739983,1,right,3
18,1.7062905,0.63916737,1.0671232,0,left,3
19,0.0047729937,0.012564732,-0.007791738,1,right,3
20,0.027644385,0.045435287,-0.017790902,1,right,3
21,0.044953156,0.109180346,-0.06422719,1,right,3
22,0.07965275,0.049718104,0.029934645,0,left,3
23,0.1232882,0.093055315,0.030232884,0,left,3
24,0.540383,0.40265927,0.13772371,0,left,3
25,0.34108046,0.9265349,-0.58545446,1,right,3
26,0.4118377,0.273002,0.1388357,0,left,3
27,0.028681839,0.04392786,-0.015246021,1,right,3
28,0.045023188,0.121783316,-0.07676013,1,right,3
29,0.6563177,0.26006612,0.3962516,0,left,3
30,0.07899879,0.08194428,-0.0029454902,1,right,3
31,0.01877228,0.06961327,-0.05084099,1,right,3
32,1.0061361,0.17746876,0.8286673,0,left,3
33,0.95171344,0.8495876,0.10212582,0,left,3
34,0.45473322,0.35215968,0.102573544,0,left,3
35,0.08778504,0.10594908,-0.018164039,1,right,3
36,0.039704572,0.066961125,-0.027256552,1,right,3
37,0.0976257,0.06423722,0.03338848,0,left,3
38,0.0020339102,0.002628394,-0.0005944837,1,right,3
39,0.3930931,0.4437079,-0.050614804,1,right,3
40,0.28624713,0.5636364,-0.2773893,1,right,3
41,0.58508927,0.460613,0.124476254,0,left,3
42,0.04205326,0.023329865,0.018723395,0,left,3
43,0.10653055,0.059955653,0.046574894,0,left,3
44,0.027163606,0.008600903,0.018562704,0,left,3
45,0.74963444,0.3550578,0.39457664,0,left,3
46,0.78955895,2.2941067,-1.5045478,1,right,3
47,1.6696951,0.6288483,1.0408468,0,left,3
48,0.07710928,0.1695236,-0.09241432,1,right,3
49,0.017801726,0.04041291,-0.022611184,1,right,3
50,0.0938408,0.16968668,-0.075845875,1,right,3
51,1.9968411,0.85297245,1.1438687,0,left,3
52,0.43936,0.058381263,0.38097873,0,left,3
53,0.13426839,0.25831747,-0.12404908,1,right,3
54,0.18461162,0.30672556,-0.12211394,1,right,3
55,0.011133087,0.021313021,-0.010179934,1,right,3
56,2.351279,0.5220905,1.8291886,0,left,3
57,0.40235707,0.16291256,0.23944451,0,left,3
58,0.8230702,0.20138575,0.6216845,0,left,3
59,1.0631593,0.5135495,0.54960984,0,left,3
60,0.0018962778,0.0008603889,0.0010358889,0,left,3
61,0.08767284,0.100636095,-0.012963258,1,right,3
62,0.4910286,0.84912986,-0.35810125,1,right,3
63,0.0128314765,0.024547385,-0.011715909,1,right,3
0,0.098878816,0.044497143,0.054381672,0,left,4
1,0.37443948,2.8619025,-2.487463,1,right,4
2,0.722023,0.17460275,0.54742026,0,left,4
3,0.22795774,0.08890436,0.13905337,0,left,4
4,0.27937424,0.1343221,0.14505213,0,left,4
5,0.18967198,1.0965383,-0.9068663,1,right,4
6,0.04015548,0.024454411,0.01570107,0,left,4
7,0.087136395,0.03965639,0.047480006,0,left,4
8,0.7417498,0.316588,0.4251618,0,left,4
9,0.16660595,0.21852787,-0.05192192,1,right,4
10,0.15729418,0.06248625,0.09480794,0,left,4
11,0.046660528,0.1033335,-0.056672975,1,right,4
12,0.42446214,0.3148219,0.10964024,0,left,4
13,1.1187862,0.40303487,0.71575135,0,left,4
14,0.106036775,0.09462281,0.011413962,0,left,4
15,1.3411252,0.99420995,0.3469153,0,left,4
16,0.1775698,0.13481323,0.042756572,0,left,4
17,1.7067331,2.2555606,-0.5488275,1,right,4
18,1.8503699,0.7586706,1.0916994,0,left,4
19,0.15727445,0.5301283,-0.37285385,1,right,4
20,0.042885605,0.014073308,0.028812297,0,left,4
21,0.36719957,0.21462943,0.15257014,0,left,4
22,0.7117416,0.24253139,0.46921024,0,left,4
23,0.88548434,0.13479479,0.75068957,0,left,4
24,0.037618678,0.030237168,0.00738151,0,left,4
25,0.032183733,0.028215768,0.003967965,0,left,4
26,1.465522,0.50988317,0.9556389,0,left,4
27,0.42864954,0.46343374,-0.034784198,1,right,4
28,0.21996523,0.3251533,-0.10518806,1,right,4
29,0.18189156,0.3037113,-0.121819735,1,right,4
30,2.7907612,0.30856368,2.4821975,0,left,4
31,0.05550787,0.027565384,0.027942484,0,left,4
32,1.133053,0.75763524,0.3754177,0,left,4
33,0.19121608,0.28006357,-0.08884749,1,right,4
34,0.46234742,0.281772,0.18057543,0,left,4
35,0.057597302,0.023080349,0.034516953,0,left,4
36,0.13169506,0.0779959,0.053699166,0,left,4
37,0.06597572,0.07892261,-0.012946889,1,right,4
38,0.15132084,0.14329739,0.008023456,0,left,4
39,1.1053075,0.55765426,0.5476532,0,left,4
40,0.16918603,0.3734384,-0.20425236,1,right,4
41,1.0696318,0.122063346,0.9475685,0,left,4
42,0.20631582,0.12122701,0.085088804,0,left,4
43,0.02004614,0.02775195,-0.0077058114,1,right,4
44,0.24906641,0.24516188,0.0039045364,0,left,4
45,0.09051708,0.56188786,-0.4713708,1,right,4
46,0.17016084,0.05188613,0.11827472,0,left,4
47,1.0739235,1.751707,-0.6777835,1,right,4
48,1.9338478,1.6394372,0.2944106,0,left,4
49,1.6711127,0.37706357,1.294049,0,left,4
50,0.460003,0.32766035,0.13234264,0,left,4
51,0.95389605,0.27688146,0.6770146,0,left,4
52,0.13525416,1.2274693,-1.0922152,1,right,4
53,0.521519,0.10180634,0.41971266,0,left,4
54,0.20251383,0.613559,-0.4110452,1,right,4
55,0.067765795,0.039020315,0.02874548,0,left,4
56,0.73207843,0.2967392,0.43533924,0,left,4
57,0.40008554,1.0701451,-0.67005956,1,right,4
58,0.281289,1.067766,-0.78647697,1,right,4
59,0.16217786,0.1806343,-0.018456444,1,right,4
60,0.14612359,0.1790948,-0.03297122,1,right,4
61,0.25327897,1.1843016,-0.93102264,1,right,4
62,0.95457196,0.44842577,0.5061462,0,left,4
63,0.45725146,0.54148525,-0.08423379,1,right,4
